icao_code,aircraft,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_type,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,engine_type,engine_mount,engine_number,engine_default,engine_options_A319-171N,engine_options_A319-151N,engine_options_A319-153N,drag_cd0,drag_k,drag_e,drag_gears,fuel_engine,fuel_fuel_coef,aircraft_name,engine_options_A320-271N,engine_options_A320-272N,engine_options_A320-273N,engine_options_A320-251N,engine_options_A320-252N,engine_options_A320-253N,fuel_aircraft,engine_options_A321-271N,engine_options_A321-272N,engine_options_A321-251N,engine_options_A321-252N,engine_options_A321-253N,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A319-111,engine_options_A319-112,engine_options_A319-113,engine_options_A319-114,engine_options_A319-115,engine_options_A319-131,engine_options_A319-132,engine_options_A319-133,engine_options_A320-111,engine_options_A320-211,engine_options_A320-212,engine_options_A320-214,engine_options_A320-215,engine_options_A320-216,engine_options_A320-231,engine_options_A320-232,engine_options_A320-233,engine_options_A321-111,engine_options_A321-112,engine_options_A321-131,engine_options_A321-211,engine_options_A321-212,engine_options_A321-213,engine_options_A321-231,engine_options_A321-232,engine_options_A330-201,engine_options_A330-202,engine_options_A330-203,engine_options_A330-223,engine_options_A330-223F,engine_options_A330-243,engine_options_A330-301,engine_options_A330-302,engine_options_A330-303,engine_options_A330-321,engine_options_A330-322,engine_options_A330-323,engine_options_A330-341,engine_options_A330-342,engine_options_A330-343,engine_options_A340-311,engine_options_A340-312,engine_options_A340-313,engine_options_A350-941,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,engine_options,clean_cd0,clean_k,clean_e,clean_gears,limits,range
A19N,Airbus A319neo,75500,62500,42600,29700,350.0,0.82,12500,160,120,150,33.84,4.14,3.95,124.0,35.8,4.29,25.0,,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,turbofan,wing,2,PW1124G1-JM,PW1124G1-JM,LEAP-1A24,LEAP-1A26,0.017,0.038,0.807,0.017,V2524-A5,2.33357287,Airbus A319neo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20N,Airbus A320neo,79000,66000,44300,29700,350.0,0.82,12500,194,150,180,37.57,4.14,3.95,124.0,35.8,4.29,25.0,,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,turbofan,wing,2,PW1127G-JM,,,,0.017,0.038,0.807,0.017,CFM56-5B4/P,2.65942225,Airbus A320neo,PW1127G-JM,PW1124G1-JM,PW1129G-JM,LEAP-1A26,LEAP-1A24,LEAP-1A29,Airbus A320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A21N,Airbus A321neo,97000,77800,50000,33000,350.0,0.82,12500,244,180,220,44.51,4.14,3.95,128.0,35.8,4.29,25.0,,double-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,turbofan,wing,2,PW1133G-JM,,,,0.017,0.038,0.807,0.017,CFM56-5B4/P,2.65942225,Airbus A321neo,,,,,,,,PW1133G-JM,PW1130G-JM,LEAP-1A32,LEAP-1A30,LEAP-1A33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A318,Airbus A318,68000,57500,39500,24210,350.0,0.82,12500,136,107,117,31.44,4.14,3.95,122.4,34.1,4.1935,25.0,,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,turbofan,wing,2,CFM56-5B9,,,,0.02,0.039,0.783,0.017,CFM56-5B9/3,2.03114004,Airbus A318,,,,,,,,,,,,,CFM56-5B8,CFM56-5B9,PW6122A,PW6124A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A319,Airbus A319,75500,62500,40800,30190,350.0,0.82,12500,156,110,140,33.84,4.14,3.95,124.0,35.8,4.1935,25.0,,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,turbofan,wing,2,CFM56-5B7,,,,0.02,0.039,0.783,0.017,V2524-A5,2.33357287,Airbus A319,,,,,,,,,,,,,,,,,CFM56-5B5,CFM56-5B6,CFM56-5A4,CFM56-5A5,CFM56-5B7,V2522-A5,V2524-A5,V2527M-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A320,Airbus A320,78000,66000,42600,24210,350.0,0.82,12500,180,140,170,37.57,4.14,3.95,124.0,35.8,4.1935,25.0,,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,turbofan,wing,2,CFM56-5B4,,,,0.018,0.039,0.799,0.017,CFM56-5B4/P,2.65942225,Airbus A320,,,,,,,,,,,,,,,,,,,,,,,,,CFM56-5-A1,CFM56-5-A1,CFM56-5A3,CFM56-5B4,CFM56-5B5,CFM56-5B6,V2500-A1,V2527-A5,V2527E-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A321,Airbus A321,93500,77800,48500,30030,350.0,0.82,12500,220,170,210,44.51,4.14,3.95,128.0,35.8,4.1935,25.0,,double-slotted,21.1,0.78,0.9,0.176,0.165,11000,0.78,turbofan,wing,2,CFM56-5B1,,,,0.02,0.041,0.785,0.019,V2533-A5,3.2375643,Airbus A321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFM56-5B1,CFM56-5B2,V2530-A5,CFM56-5B3,CFM56-5B1,CFM56-5B2,V2533-A5,V2530-A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A332,Airbus A330-200,230000,182000,120200,139000,330.0,0.86,12500,406,220,260,58.82,5.64,5.64,361.6,60.3,7.26,29.7,0.11,double-slotted,,0.665,0.9,0.15,0.15,11000,0.82,turbofan,wing,2,Trent 772,,,,0.022,0.041,0.774,0.014,Trent 772,6.0218489,Airbus A330-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF6-80E1A2,CF6-80E1A4,CF6-80E1A3,PW4168A,PW4170,Trent 772,,,,,,,,,,,,,,,,,,,,,,,
A333,Airbus A330-300,242000,188000,122780,139000,330.0,0.86,12500,440,250,290,63.67,5.64,5.64,361.6,60.3,7.26,29.7,0.11,double-slotted,,0.665,0.9,0.15,0.15,11000,0.82,turbofan,wing,2,Trent 772,,,,0.022,0.041,0.773,0.014,Trent 772,5.84957777,Airbus A330-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF6-80E1A2,CF6-80E1A4,CF6-80E1A3,PW4164,PW4168,PW4168A,Trent 768,Trent 772,Trent 772,,,,,,,,,,,,,,
A343,Airbus A340-300,276000,190000,130000,147850,330.0,0.86,12500,440,250,290,63.69,5.64,5.64,363.1,60.3,7.26,29.7,0.11,double-slotted,,0.665,0.9,0.15,0.15,11000,0.82,turbofan,wing,4,CFM56-5C3,,,,0.019,0.04,0.799,0.016,,,Airbus A340-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFM56-5C2,CFM56-5C3,CFM56-5C4,,,,,,,,,,,
